"","Year","Quadrant","SightingCount"
"1",2017,142,1
"2",2017,165,1
"3",2017,166,1
"4",2017,168,2
"5",2017,169,1
"6",2017,174,1
"7",2017,181,1
"8",2017,184,3
"9",2017,185,4
"10",2017,186,21
"11",2017,188,1
"12",2017,192,1
"13",2017,193,1
"14",2017,195,1
"15",2017,197,1
"16",2017,211,2
"17",2017,214,2
"18",2017,221,1
"19",2017,222,3
"20",2017,225,3
"21",2017,226,3
"22",2017,227,1
"23",2017,236,1
"24",2017,240,1
"25",2017,241,9
"26",2017,242,3
"27",2017,244,1
"28",2017,249,4
"29",2017,252,1
"30",2017,303,4
"31",2017,304,3
"32",2017,305,2
"33",2017,307,1
"34",2017,308,3
"35",2017,309,1
"36",2017,358,2
"37",2017,360,2
"38",2017,362,1
"39",2017,365,1
"40",2017,372,1
"41",2017,386,2
"42",2017,388,1
"43",2017,389,2
"44",2017,395,1
"45",2017,396,1
"46",2017,398,1
"47",2017,407,1
"48",2017,NA,3
"49",2018,165,1
"50",2018,167,1
"51",2018,171,1
"52",2018,181,2
"53",2018,185,1
"54",2018,186,9
"55",2018,188,2
"56",2018,222,1
"57",2018,223,1
"58",2018,227,1
"59",2018,228,1
"60",2018,241,2
"61",2018,249,4
"62",2018,303,6
"63",2018,305,12
"64",2018,307,1
"65",2018,309,1
"66",2018,356,1
"67",2018,357,1
"68",2018,365,5
"69",2018,373,1
"70",2018,380,1
"71",2018,387,3
"72",2018,389,4
"73",2018,392,1
"74",2018,398,1
"75",2018,408,1
"76",2018,417,2
"77",2018,NA,3
"78",2019,80,1
"79",2019,108,1
"80",2019,138,1
"81",2019,149,1
"82",2019,152,1
"83",2019,167,1
"84",2019,168,2
"85",2019,171,1
"86",2019,185,1
"87",2019,186,12
"88",2019,188,2
"89",2019,189,1
"90",2019,192,1
"91",2019,195,1
"92",2019,208,1
"93",2019,210,1
"94",2019,214,1
"95",2019,219,4
"96",2019,225,1
"97",2019,241,20
"98",2019,247,1
"99",2019,303,1
"100",2019,305,12
"101",2019,307,3
"102",2019,364,1
"103",2019,365,1
"104",2019,375,1
"105",2019,386,1
"106",2019,387,2
"107",2019,388,2
"108",2019,389,1
"109",2019,390,1
"110",2019,391,2
"111",2019,392,1
"112",2019,395,2
"113",2019,397,2
"114",2019,398,1
"115",2019,400,4
"116",2019,401,5
"117",2019,417,1
"118",2019,419,2
"119",2019,420,1
"120",2019,423,1
"121",2019,445,1
"122",2019,NA,5
"123",2020,166,1
"124",2020,181,4
"125",2020,185,1
"126",2020,186,4
"127",2020,188,2
"128",2020,209,2
"129",2020,215,1
"130",2020,222,1
"131",2020,225,1
"132",2020,226,11
"133",2020,240,10
"134",2020,241,11
"135",2020,248,1
"136",2020,252,3
"137",2020,253,2
"138",2020,260,1
"139",2020,264,2
"140",2020,303,1
"141",2020,305,1
"142",2020,307,1
"143",2020,378,1
"144",2020,386,2
"145",2020,387,2
"146",2020,392,1
"147",2020,401,2
"148",2020,408,1
"149",2020,411,1
"150",2020,414,1
"151",2020,445,1
"152",2020,NA,3
"153",2021,149,1
"154",2021,181,5
"155",2021,184,1
"156",2021,186,5
"157",2021,187,1
"158",2021,188,2
"159",2021,191,1
"160",2021,192,2
"161",2021,210,1
"162",2021,211,1
"163",2021,219,1
"164",2021,222,1
"165",2021,226,9
"166",2021,247,1
"167",2021,305,1
"168",2021,343,1
"169",2021,365,1
"170",2021,375,1
"171",2021,378,2
"172",2021,387,1
"173",2021,389,2
"174",2021,391,1
"175",2021,401,2
"176",2021,402,1
"177",2021,404,1
"178",2021,407,2
"179",2021,408,1
"180",2021,409,1
"181",2021,410,1
"182",2021,412,1
"183",2021,422,3
"184",2021,432,1
"185",2021,434,1
"186",2021,NA,1
"187",2022,119,1
"188",2022,169,1
"189",2022,181,3
"190",2022,186,8
"191",2022,187,1
"192",2022,188,3
"193",2022,189,1
"194",2022,210,1
"195",2022,214,1
"196",2022,224,2
"197",2022,305,2
"198",2022,358,1
"199",2022,359,1
"200",2022,365,2
"201",2022,383,2
"202",2022,384,2
"203",2022,388,4
"204",2022,389,1
"205",2022,390,1
"206",2022,391,1
"207",2022,399,1
"208",2022,407,1
"209",2022,409,1
"210",2022,410,2
"211",2022,412,1
"212",2022,414,1
"213",2022,417,2
"214",2022,419,1
"215",2022,420,3
"216",2022,422,6
"217",2022,423,4
"218",2022,425,2
"219",2022,427,2
"220",2022,430,1
"221",2022,432,1
